FID,id,knoopid,volgnr,nodeid,geoid,netwerkid,netwerk,nettype,beschr,startdate,stopdate,geom,codetype
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cf4,122005783,5783,49,5743,27770807,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8745110603410726 50.81743978337835),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cf3,122005784,5784,50,5744,27770046,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8538367738453307 50.81121847292658),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cf2,122005786,5786,59,5746,27769692,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8623530289095935 50.82704062645632),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cf1,122005785,5785,58,5745,27769669,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8557892566675602 50.816571183282285),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cf0,122005787,5787,57,5747,27770293,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8475358256744308 50.818555699636995),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cef,122005789,5789,60,5749,27769157,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.879003165749579 50.836981226510225),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cee,122005790,5790,61,5750,27770202,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8760883823594634 50.8447397804394),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5ced,122005791,5791,33,5751,27769443,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.904398016958014 50.839897674909224),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cec,122005792,5792,68,5752,27770350,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.9006701738322964 50.84008759009241),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5ceb,122005793,5793,67,5753,27770728,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8904040518457412 50.842661546622516),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5cea,122005795,5795,66,5755,27769923,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.890389823648382 50.8428740246245),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5ce9,122005796,5796,65,5756,27769523,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8898304029922084 50.84358032670289),NETWERK
knoop_full_export.fid--411cfba4_14a465d1f9e_-5ce8,122005797,5797,64,5757,27770278,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.889745014724671 50.844451500816106),NETWERK
