FID,id,knoopid,volgnr,nodeid,geoid,netwerkid,netwerk,nettype,beschr,startdate,stopdate,geom,codetype
knoop_full_export.fid--16c1f25b_14b3a583521_27c1,127006449,6449,54,6423,29034213,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.0401477325743476 50.77620158642992),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27c2,126006997,6997,34,6968,29034746,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.059247849972757 50.94044372379284),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27c3,127006997,6997,34,6968,29034746,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.059247849972757 50.94044372379284),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27c4,126006376,6376,36,6349,29033446,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.001685555182356 50.88507986298869),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27c5,127006376,6376,36,6349,29033446,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.001685555182356 50.88507986298869),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27c6,126006372,6372,35,6345,29034283,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.017917606541961 50.901892876366006),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27c7,127006372,6372,35,6345,29034283,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.017917606541961 50.901892876366006),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27c8,126006430,6430,49,6404,29034214,126,Fietsnetwerk Leiestreek,FIETS,Fietsen,,,POINT (3.025320083337885 50.851713991486484),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27c9,127006430,6430,49,6404,29034214,127,Fietsnetwerk Westhoek,FIETS,Fietsen,,,POINT (3.025320083337885 50.851713991486484),NETWERK
knoop_full_export.fid--16c1f25b_14b3a583521_27ca,122005782,5782,48,5742,29034109,122,Wandelnetwerk Ieperboog,WANDEL,Wandelen,,,POINT (2.8754239873666063 50.81805775912934),NETWERK
