XCoord;YCoord;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
294542,95740870;6609728,98358153;0; ;NEW;ZU;ZT
297974,39928588;6611662,40803120;0; ;NEW;ZT;ZV
300748,90238538;6612573,11582810;0; ;NEW;ZV;ZW
299809,41096439;6610455,57798245;0; ;NEW;FG;ZW
302468,65709740;6612515,19946869;0; ;NEW;ZW;GU
301887,66129690;6614107,29264964;0; ;NEW;ZV;ZX
303827,95191587;6614362,75490274;0; ;NEW;ZX;GU
305745,29759716;6615239,11827436;0; ;NEW;ZX;G7
309950,77010936;6618980,65281233;0; ;NEW;G7;ZY
313621,31064081;6619843,79764219;0; ;NEW;ZY;ZZ
312980,88729557;6617271,53695955;0; ;NEW;ZZ;HE
313270,36739487;6610126,92638386;0; ;NEW;VK;HN
318201,76413831;6619251,41020798;0; ;NEW;Z0;HJ
317609,95043946;6620709,85739875;0; ;NEW;Z0;AH
315630,82615941;6619630,43482326;0; ;NEW;ZZ;Z0
314979,60224596;6622096,28543822;0; ;NEW;Z1;HG
317519,27164670;6622110,71889231;0; ;NEW;Z1;AH
317402,66325300;6623881,33642806;0; ;NEW;Z1;Z2
318377,35565217;6624681,72566996;0; ;NEW;Z2;T0
313199,01982220;6621225,19228456;0; ;NEW;ZY;HG
323860,80066951;6619047,15074777;0; ;NEW;HI;AC
335261,32473593;6551490,55042084;0; ;NEW;XB;Z4
292584,49280441;6556668,72423226;0; ;NEW;Y2;Y5
283172,48708768;6597851,45064756;0; ;NEW;Z5;T6
327366,08276288;6591657,94625064;0; ;DEL;NS;J4
391983,78907022;6553402,63022057;0; ;MIS;OG;TS
316656,88915735;6595922,38314280;0; ;NEW;IB;VI
317468,67047140;6594819,44765612;0; ;NEW;VI;IC
332582,69370260;6591587,51987791;0; ;NEW;Z6;Z7
330639,20477658;6592602,60836109;0; ;NEW;NQ;Z7
333578,03504455;6591206,43516482;0; ;NEW;Z6;VO
334422,76075579;6592717,91919937;0; ;NEW;NP;Z7
330493,62218691;6591549,39751031;0; ;NEW;Z7;Z8
330460,24091847;6591173,26202351;0; ;NEW;Z8;VP
328853,80765397;6591563,72261993;0; ;NEW;Z8;Z9
320567,30708013;6559257,81335447;0; ;DEL;RR;RV
332570,13782821;6603467,42335352;0; ;DEL;BM;BL
334226,29139030;6582602,18766691;0;6467-6492;DEL;ON;NY
289824,43255024;6594129,65313221;0; ;DEL;HO;HX
335701,23583005;6547690,83909762;0; ;NEW;0A;0B
336754,71278015;6549658,30597841;0; ;NEW;Z4;0A
338107,63201093;6548557,23168207;0; ;NEW;0A;NG
341765,72535134;6552937,22485847;0; ;NEW;M6;0D
341819,34670422;6549164,66354420;0; ;NEW;NG;0D
345161,91863110;6551347,10655137;0; ;NEW;0D;NE
347039,89682254;6551683,23366609;0; ;NEW;NE;0E
342987,37759058;6549305,88901280;0; ;NEW;0A;0E
344619,54498598;6556157,44753883;0; ;NEW;0F;0G
342527,56559838;6554919,68003085;0; ;NEW;M6;0F
344955,71993455;6554141,47210265;0; ;NEW;0F;M7
346625,32564685;6556686,55341638;0; ;NEW;0G;M8
345683,63272771;6558464,09909386;0; ;NEW;M9;0G
342695,96360463;6563825,15519103;0; ;NEW;W4;MU
347588,16449055;6561298,19768384;0; ;NEW;0H;M1
349457,78146388;6563225,69041250;0; ;NEW;0H;0I
349576,61522335;6566262,95562213;0; ;NEW;LM;0I
344317,61608820;6567910,94743351;0; ;NEW;LF;0J
342724,76419944;6566701,77358903;0; ;NEW;0J;LG
341254,60054813;6568593,51485359;0; ;NEW;W7;0J
343762,86276079;6575268,47548220;0; ;NEW;0K;WR
343220,28299455;6573510,17035007;0; ;NEW;0K;W8
345488,85715478;6574002,88433890;0; ;NEW;0K;KZ
347984,55403404;6565912,62501146;0; ;NEW;LN;0H
348179,87843353;6582250,04617554;0; ;NEW;WP;0L
349147,51822577;6580304,73555411;0; ;NEW;0L;0T
348331,70677862;6579545,86747410;0; ;NEW;0L;0M
348349,65077660;6579217,99517102;0; ;NEW;0M;0O
348531,50504886;6578663,96119257;0; ;NEW;0O;0P
