XCoord;YCoord;FID;NETWERKID;PID;STATUS;STARTCODE;ENDCODE
355989,75027064;6559969,88556744;1283;0; ;NEW;MZ;2K
359592,57129920;6559291,06322491;1284;0; ;NEW;2J;M2
353341,59636715;6554639,06641349;1285;0; ;MIS;NC;NH
354953,73292542;6553193,50272233;1286;0; ;MIS;NH;OX
357414,39592624;6554297,17215435;1287;0; ;MIS;NH;NI
350385,80856072;6560124,03830211;1288;0; ;NEW;M1;2M
360167,53297691;6555459,63890130;1289;0; ;MIS;NI;NZ
359372,59161598;6556988,57085728;1290;0; ;NEW;M5;M4
362363,89589394;6559857,10398918;1291;0; ;NEW;2R;2I
364041,60451727;6558203,08720704;1292;0; ;NEW;2Q;2T
363753,36841243;6557939,64772069;1293;0; ;NEW;2T;2P
363466,57826188;6558292,91839573;1294;0; ;NEW;2P;2O
363801,92584887;6558262,84843108;1295;0; ;NEW;2Q;2P
363153,42107365;6558394,09125734;1296;0; ;NEW;2R;2O
364001,33352990;6558601,69786998;1297;0; ;NEW;11;2Q
364035,39117120;6558921,55309611;1298;0; ;NEW;10;11
363981,89767913;6558787,60638582;1299;0; ;NEW;2S;11
363562,31389601;6558590,85212209;1300;0; ;NEW;2S;2O
363685,31092268;6558729,28329341;1301;0; ;MIS;M3;2S
363278,16823674;6558554,65560744;1302;0; ;NEW;2R;M3
361496,44076740;6557567,31640283;1303;0; ;NEW;M4;2R
364578,24688378;6557724,08350795;1304;0; ;NEW;2T;2U
366921,63312436;6557329,47404750;1305;0; ;NEW;2U;NM
363280,26900683;6554564,59016898;1306;0; ;NEW;2V;2W
364209,53024429;6557181,76487482;1307;0; ;NEW;2U;2V
361863,97877243;6556216,25738029;1308;0; ;NEW;2V;NZ
361742,50355788;6553380,74444729;1309;0; ;NEW;OW;2W
366073,37948442;6555803,66665840;1310;0; ;NEW;2U;2X
368893,04784137;6553999,80840076;1311;0; ;NEW;2X;O4
366969,49342682;6553752,70387678;1312;0; ;NEW;2X;O3
363087,10578937;6552101,55775962;1313;0; ;NEW;2W;OY
367250,71851290;6545584,84403426;1314;0; ;NEW;2H;2G
365770,08448976;6547855,60477337;1315;0; ;NEW;2H;O0
362344,51838334;6545599,35689101;1316;0; ;NEW;2Y;2Z
365161,63853451;6544355,73832494;1317;0; ;NEW;2Z;2G
363650,05454961;6547945,12614667;1318;0; ;NEW;O0;2Y
361087,35858968;6547487,27261639;1319;0; ;NEW;O1;2Y
358566,68122017;6548838,12145809;1320;0; ;NEW;O1;O2
359551,20995422;6552091,31073873;1321;0; ;NEW;OU;20
360226,56647509;6553666,31102592;1322;0; ;NEW;20;OW
358825,82731474;6552910,69199750;1323;0; ;NEW;20;21
357682,69135560;6551936,07853840;1324;0; ;NEW;OU;21
356422,35784203;6552900,70851895;1325;0; ;NEW;OX;21
353045,60149931;6551388,60091898;1326;0; ;NEW;OV;22
355210,95923891;6550029,10173576;1327;0; ;NEW;22;O2
351915,64233789;6550423,99642774;1328;0; ;NEW;22;23
352208,52928780;6552123,14013581;1329;0; ;NEW;OV;23
